b'Record: [ 19/07/19  22:18:49 ] - Action: Writte - User: <@274242537668083712> - Content: https://gyazo.com/3be159935242788a0ef94ff4e59b41f2'
b'Record: [ 20/07/19  17:24:05 ] - Action: Writte - User: <@524627417394839573> - Content: https://gyazo.com/429ed24c4199281d55c586edbd25f524'
b'Record: [ 21/07/19  14:06:34 ] - Action: Writte - User: <@274242537668083712> - Content: https://gyazo.com/8f6cb05b9f54f38afebd4f94bc6e52c5'
b"Record: [ 24/07/19  16:34:37 ] - Action: Upload - User: <@!508649761142997020> - Content: [<Attachment id=603595899876278272 filename='2019-07-24_17-19-31.png' url='https://cdn.discordapp.com/attachments/449557227406360576/603595899876278272/2019-07-24_17-19-31.png'>]"
b'Record: [ 24/07/19  22:34:00 ] - Action: Writte - User: <@277213837722255372> - Content: https://gyazo.com/5359a0f204fd36d69bb8adb4be7a64a8'
b'Record: [ 24/07/19  22:35:13 ] - Action: Writte - User: <@!266324214250733568> - Content: ban <@277213837722255372>'
b'Record: [ 25/07/19  07:08:27 ] - Action: Writte - User: <@524627417394839573> - Content: https://gyazo.com/98f9344b9fd40cd9d4a33e8f4e335230'
b"Record: [ 25/07/19  18:28:58 ] - Action: Upload - User: <@351063788839108618> - Content: [<Attachment id=603987068716056577 filename='2019-07-25_19-24-21.png' url='https://cdn.discordapp.com/attachments/449557227406360576/603987068716056577/2019-07-25_19-24-21.png'>]"
b"Record: [ 25/07/19  19:02:42 ] - Action: Upload - User: <@351338510055374848> - Content: [<Attachment id=603995560042561586 filename='Pet_2019-07-20_19-09-00.png' url='https://cdn.discordapp.com/attachments/449557227406360576/603995560042561586/Pet_2019-07-20_19-09-00.png'>]"
b'Record: [ 25/07/19  20:01:49 ] - Action: Writte - User: <@351063788839108618> - Content: gz'
b'Record: [ 25/07/19  21:15:39 ] - Action: Writte - User: <@524627417394839573> - Content: https://gyazo.com/b26181dd66f3fd3835d941e7526a7d22'
b'Record: [ 25/07/19  23:21:02 ] - Action: Writte - User: <@524627417394839573> - Content: Trecias'
b'Record: [ 27/07/19  01:11:01 ] - Action: Writte - User: <@!221402733331087362> - Content: https://gyazo.com/4626cde7b26b7c51c9ea0cc6468ce7f4'
b'Record: [ 27/07/19  18:36:54 ] - Action: Writte - User: <@!405796958700044288> - Content: <@351338510055374848>  sunku ten ta Venenatis lurint i safespota ?'
b"Record: [ 27/07/19  18:58:07 ] - Action: Upload - User: <@!266324214250733568> - Content: [<Attachment id=604719177886072842 filename='2019.07.27_19-55-42.png' url='https://cdn.discordapp.com/attachments/449557227406360576/604719177886072842/2019.07.27_19-55-42.png'>]"
b"Record: [ 27/07/19  18:59:10 ] - Action: Upload - User: <@!266324214250733568> - Content: [<Attachment id=604719443670597633 filename='2019.07.27_19-38-10.png' url='https://cdn.discordapp.com/attachments/449557227406360576/604719443670597633/2019.07.27_19-38-10.png'>]"
b"Record: [ 27/07/19  19:01:16 ] - Action: Upload - User: <@!266324214250733568> - Content: [<Attachment id=604719973469913090 filename='2019.07.27_19-35-54.png' url='https://cdn.discordapp.com/attachments/449557227406360576/604719973469913090/2019.07.27_19-35-54.png'>]"
b"Record: [ 27/07/19  19:02:30 ] - Action: Upload - User: <@!266324214250733568> - Content: [<Attachment id=604720284041347083 filename='2019.07.27_19-12-26.png' url='https://cdn.discordapp.com/attachments/449557227406360576/604720284041347083/2019.07.27_19-12-26.png'>]"
b"Record: [ 27/07/19  19:14:39 ] - Action: Upload - User: <@!266324214250733568> - Content: [<Attachment id=604723339486822400 filename='2019.07.27_20-07-12.png' url='https://cdn.discordapp.com/attachments/449557227406360576/604723339486822400/2019.07.27_20-07-12.png'>]"
