b'Record: [ 19/07/19  23:33:24 ] - Action: Joined - User: Fortrex - Uerd ID: 255766108655583232 - Created at: 2016-12-06 18:43:12.208000'
b'Record: [ 20/07/19  12:44:55 ] - Action: Joined - User: Dyno - Uerd ID: 155149108183695360 - Created at: 2016-03-04 03:07:09.922000'
b'Record: [ 21/07/19  16:53:59 ] - Action: Joined - User: kamikaze4231 - Uerd ID: 169141068212731904 - Created at: 2016-04-11 17:46:13.151000'
b'Record: [ 21/07/19  17:19:10 ] - Action: Joined - User: Hq - Uerd ID: 406220927228182528 - Created at: 2018-01-25 22:56:56.271000'
b'Record: [ 21/07/19  19:24:45 ] - Action: Joined - User: kietekas - Uerd ID: 449129356854558730 - Created at: 2018-05-24 08:39:43.094000'
b'Record: [ 22/07/19  16:29:01 ] - Action: Joined - User: OsHelpDeimantas - Uerd ID: 192669664025772032 - Created at: 2016-06-15 16:00:27.533000'
b'Record: [ 22/07/19  16:46:38 ] - Action: Joined - User: OsHelpDeimantas - Uerd ID: 192669664025772032 - Created at: 2016-06-15 16:00:27.533000'
b'Record: [ 22/07/19  17:24:31 ] - Action: Joined - User: mykalas - Uerd ID: 267648398046265344 - Created at: 2017-01-08 13:39:10.761000'
b'Record: [ 22/07/19  17:26:07 ] - Action: Joined - User: aka Chaser - Uerd ID: 389088097830174740 - Created at: 2017-12-09 16:17:11.430000'
b'Record: [ 22/07/19  18:41:08 ] - Action: Joined - User: scr_sick - Uerd ID: 351698312132296714 - Created at: 2017-08-28 12:03:31.851000'
b'Record: [ 22/07/19  19:51:03 ] - Action: Joined - User: krispy9 - Uerd ID: 220317066387783681 - Created at: 2016-08-30 23:01:21.920000'
b'Record: [ 24/07/19  01:57:09 ] - Action: Joined - User: Vierchatura - Uerd ID: 535446292814626817 - Created at: 2019-01-17 13:12:24.318000'
b'Record: [ 24/07/19  15:04:16 ] - Action: Joined - User: einoras10 - Uerd ID: 482488188414459905 - Created at: 2018-08-24 09:55:48.315000'
b'Record: [ 24/07/19  17:27:40 ] - Action: Joined - User: ltu general - Uerd ID: 596296821282832409 - Created at: 2019-07-04 11:10:40.853000'
b'Record: [ 24/07/19  17:33:27 ] - Action: Joined - User: Art\xc5\xabras - Uerd ID: 486520646793297941 - Created at: 2018-09-04 12:59:21.312000'
b'Record: [ 24/07/19  18:06:15 ] - Action: Joined - User: domi - Uerd ID: 127864231826554881 - Created at: 2015-12-19 20:06:48.470000'
b'Record: [ 24/07/19  18:49:41 ] - Action: Joined - User: Giesius 2K - Uerd ID: 433691742856937492 - Created at: 2018-04-11 18:16:09.100000'
b'Record: [ 24/07/19  19:39:53 ] - Action: Joined - User: Domas123 - Uerd ID: 306841347468427264 - Created at: 2017-04-26 17:17:58.073000'
b'Record: [ 24/07/19  19:41:24 ] - Action: Joined - User: domas1234 - Uerd ID: 428168171309105152 - Created at: 2018-03-27 12:27:27.020000'
b'Record: [ 25/07/19  12:38:43 ] - Action: Joined - User: Vilkas - Uerd ID: 322452936099889156 - Created at: 2017-06-08 19:12:50.852000'
b'Record: [ 25/07/19  14:55:10 ] - Action: Joined - User: MIKAS - Uerd ID: 596955988490453033 - Created at: 2019-07-06 06:49:58.562000'
b'Record: [ 25/07/19  18:20:44 ] - Action: Joined - User: gantito12 - Uerd ID: 326046770792497154 - Created at: 2017-06-18 17:13:27.813000'
