b'Record: [ 22/07/19  00:42:40 ] - Action: Writte - User: <@566292177161027586> - Content: <#449208854173974528>'
b'Record: [ 25/07/19  13:50:05 ] - Action: Writte - User: <@566292177161027586> - Content: Sich sorgen + um.'
b'Record: [ 25/07/19  13:50:34 ] - Action: Writte - User: <@566292177161027586> - Content: Sich k\xc3\xbcmmern + um.'
b'Record: [ 25/07/19  13:51:04 ] - Action: Writte - User: <@566292177161027586> - Content: Sch\xc3\xbctzen + vor.'
b'Record: [ 25/07/19  13:51:36 ] - Action: Writte - User: <@566292177161027586> - Content: Sich informieren + \xc3\xbcber'
b'Record: [ 25/07/19  13:52:07 ] - Action: Writte - User: <@566292177161027586> - Content: Sich stritten + um.'
b'Record: [ 25/07/19  13:52:28 ] - Action: Writte - User: <@566292177161027586> - Content: Sich sch\xc3\xa4men + f\xc3\xbcr.'
b'Record: [ 27/07/19  09:38:17 ] - Action: Writte - User: <@566292177161027586> - Content: check'
b'Record: [ 27/07/19  10:37:06 ] - Action: Writte - User: <@566292177161027586> - Content: .ran D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komanda. events.'
b'Record: [ 27/07/19  10:37:38 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komanda. events.'
b'Record: [ 27/07/19  10:41:45 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran *D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komanda* `.events`.'
b'Record: [ 27/07/19  10:44:32 ] - Action: Writte - User: <@566292177161027586> - Content: <#306123072770015233>'
b'Record: [ 27/07/19  10:44:50 ] - Action: Writte - User: <@566292177161027586> - Content: .post nar D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komanda. events.'
b'Record: [ 27/07/19  10:48:51 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komanda. events.'
b'Record: [ 27/07/19  10:51:34 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komanda `.events`.'
b'Record: [ 27/07/19  14:31:51 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! \xc5\xa0iandien 19:00 Lietuvos laiku vyks Corporeal Beast eventas! Daugiau informacijos rasyte skiltyje <#602158697023668224> arba para\xc5\xa1e komand\xc4\x85 `.events`.'
b'Record: [ 27/07/19  14:37:05 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran A\xc4\x8di\xc5\xab.'
b'Record: [ 27/07/19  17:38:12 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! U\xc5\xbe 20 minu\xc4\x8di\xc5\xb3 prasid\xc4\x97s Corporeal Beast eventas! Daugiau informacijos j\xc5\xabms suteiks <@!266324214250733568>.'
b'Record: [ 27/07/19  17:50:31 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! U\xc5\xbe 10 minu\xc4\x8di\xc5\xb3 prasid\xc4\x97s Corporeal Beast eventas! Daugiau informacijos j\xc5\xabms suteiks <@268564813230112769>Vudis.'
b'Record: [ 27/07/19  18:00:14 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! D\xc4\x97ja m\xc5\xabs\xc5\xb3 evento organizatorius <@!266324214250733568> dingo be \xc5\xbeinios. D\xc4\x97l \xc5\xa1ios prie\xc5\xbeasties eventas perkeltas nenumatytam laikui. Atsipra\xc5\xa1ome u\xc5\xbe nesklandumus.'
b'Record: [ 27/07/19  18:05:56 ] - Action: Writte - User: <@566292177161027586> - Content: .post ran D\xc4\x97mesio! Corporeal Beast eventas prasid\xc4\x97jo! Visi norintis jungiam\xc4\x97s \xc4\xaf 360w.'
b'Record: [ 27/07/19  18:06:00 ] - Action: Writte - User: <@566292177161027586> - Content: .post nar D\xc4\x97mesio! Corporeal Beast eventas prasid\xc4\x97jo! Visi norintis jungiam\xc4\x97s \xc4\xaf 360w.'
b"Record: [ 27/07/19  18:08:04 ] - Action: Upload - User: <@566292177161027586> - Content: [<Attachment id=604706583427153930 filename='unknown.png' url='https://cdn.discordapp.com/attachments/602631551984992275/604706583427153930/unknown.png'>]"
b"Record: [ 27/07/19  18:08:17 ] - Action: Upload - User: <@566292177161027586> - Content: [<Attachment id=604706638951219262 filename='unknown.png' url='https://cdn.discordapp.com/attachments/602631551984992275/604706638951219262/unknown.png'>]"
