b"Record: [ 12/07/19  20:32:36 ] - Server: Totenkopf - Action: Upload - Channel: <#591692201453420553> - User: <@!566292177161027586> - Content: [<Attachment id=599307144679915521 filename='unknown.png' url='https://cdn.discordapp.com/attachments/591692201453420553/599307144679915521/unknown.png'>]\n"
b'Record: [ 12/07/19  22:01:31 ] - Server: Totenkopf - Action: Writte - Channel: <#591692201453420553> - User: <@!566292177161027586> - Content: .hello\n'
b'Record: [ 12/07/19  22:02:26 ] - Server: Totenkopf - Action: Writte - Channel: <#591692201453420553> - User: <@!566292177161027586> - Content: .hello\n'
b'Record: [ 12/07/19  23:28:40 ] - Server: Totenkopf - Action: Writte - Channel: <#592007147273846804> - User: <@!566292177161027586> - Content: .reg Essential LI\n'
b'Record: [ 12/07/19  23:28:42 ] - Server: Totenkopf - Action: Delete - Channel: <#592007147273846804> - User: <@!566292177161027586> - Content: .reg Essential LI\n'
b'Record: [ 12/07/19  23:29:58 ] - Action: Update - User: PupSas - Content: Joined to server.\n'
b'Record: [ 12/07/19  23:29:58 ] - Server: Totenkopf - Action: Writte - Channel: <#569653364124811291> - User: <@527067554070396940> - Content: \n'
b'Record: [ 12/07/19  23:30:15 ] - Server: Totenkopf - Action: Writte - Channel: <#590542514659000330> - User: <@527067554070396940> - Content: .rsn Essential Li\n'
b'Record: [ 12/07/19  23:30:17 ] - Server: Totenkopf - Action: Delete - Channel: <#590542514659000330> - User: <@!527067554070396940> - Content: .rsn Essential Li\n'
b'Record: [ 12/07/19  23:30:18 ] - Server: Totenkopf - Action: Writte - Channel: <#569661991958872064> - User: <@589211481351127060> - Content: **Totenkopf** *Sveikas atvyk\xc4\x99s <@!527067554070396940> \xc4\xaf Totenkopf PvM discordo kanal\xc4\x85. Skiltyje <#593503619865772056> rasi informacij\xc4\x85, kiek, kas ir k\xc4\x85 gavo m\xc5\xabs\xc5\xb3 Totenkopf nariai God Wars Dungeon, Chambers of Xeric ar Theatre of Blood raido metu. <#569659528417902602> skiltyje rasi apra\xc5\xa1ym\xc4\x85 apie mus. Kiekvienam \xc5\xbeaid\xc4\x97jui patartina pasiskaityti <#589408724159037441>. Jei esi naujokas Chambers of Xeric raiduose, pra\xc5\xa1au pasiskaityti esan\xc4\x8di\xc4\x85 informacij\xc4\x85 skiltyje <#569692411887091723>. Registracija vyksta <#590542514659000330> skiltyje.*\n'
b'Record: [ 12/07/19  23:30:18 ] - Server: Totenkopf - Action: Writte - Channel: <#587664622912536579> - User: <@589211481351127060> - Content: **Totenkopf** *\xc5\xbdaid\xc4\x97jas <@!527067554070396940> prisijung\xc4\x97 prie PvM grup\xc4\x97s. PvM registracija vyksta <#590542514659000330> skiltyje.*\n'
