b'Record: [ 19/07/19  22:25:55 ] - Action: Update - User: Vienas \xf0\x9f\xa6\x91 - Before: https://cdn.discordapp.com/avatars/257621871074344960/0923343e5da03813b0546b514381c9b1.webp?size=1024 - After: https://cdn.discordapp.com/avatars/257621871074344960/f4302098ce5dccecde81bac97829d263.webp?size=1024'
b'Record: [ 20/07/19  00:23:24 ] - Action: Update - User: Vienas \xf0\x9f\xa6\x91 - Content: Vienas'
b'Record: [ 20/07/19  00:24:08 ] - Action: Update - User: Vienas - Content: Vienas\xf0\x9f\xa6\x91'
b'Record: [ 20/07/19  00:24:20 ] - Action: Update - User: Fan of choppers vs bloat - Content: Retri'
b'Record: [ 20/07/19  03:08:57 ] - Action: Update - User: Order - Content: Jihad'
b'Record: [ 20/07/19  12:30:02 ] - Action: Update - User: comfort2312 - Content: Ntelio'
b'Record: [ 20/07/19  16:41:26 ] - Action: Update - User: Nev - Before: https://cdn.discordapp.com/avatars/223878170443644929/a_012714b7b8ed6eb3b159704446031f43.gif?size=1024 - After: https://cdn.discordapp.com/avatars/223878170443644929/012714b7b8ed6eb3b159704446031f43.webp?size=1024'
b'Record: [ 20/07/19  16:58:26 ] - Action: Update - User: tax1 - Content: Unignored'
b'Record: [ 20/07/19  17:26:30 ] - Action: Update - User: Awken - Before: https://cdn.discordapp.com/avatars/187146411886903296/2c122da3c83605f2511acb1343eea22b.webp?size=1024 - After: https://cdn.discordapp.com/avatars/187146411886903296/8dc44c87f77f84f234fc15196b038636.webp?size=1024'
b'Record: [ 20/07/19  21:31:18 ] - Action: Update - User: 66 - Before: https://cdn.discordapp.com/avatars/421454465871249418/a8da69081b5270c2bf9dedfe890b17e5.webp?size=1024 - After: https://cdn.discordapp.com/avatars/421454465871249418/ff6c69c234ca4ccc3f0bcdc70b8be5f9.webp?size=1024'
b'Record: [ 21/07/19  13:05:08 ] - Action: Update - User: Povilas - Content: \xd8\xa7\xd9\x84\xd8\xad\xd8\xa8 \xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd8\xad\xd8\xa8'
b'Record: [ 21/07/19  13:05:48 ] - Action: Update - User: \xd8\xa7\xd9\x84\xd8\xad\xd8\xa8 \xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd8\xad\xd8\xa8 - Before: https://cdn.discordapp.com/avatars/241864503598383105/7b91f34897cc0ca6dfe5bd0f5dcd9c64.webp?size=1024 - After: https://cdn.discordapp.com/avatars/241864503598383105/3245d8b1567b478bc07eecf5d397180c.webp?size=1024'
b'Record: [ 21/07/19  13:46:14 ] - Action: Update - User: loli kirino - Content: HqeeN'
b'Record: [ 21/07/19  14:44:30 ] - Action: Update - User: smaizu - Before: https://cdn.discordapp.com/avatars/289116637821403137/a0ae0044a16274bf4ed0c379cbee4257.webp?size=1024 - After: https://cdn.discordapp.com/avatars/289116637821403137/19985f1148ba0b081be7df33b4a5adcf.webp?size=1024'
b'Record: [ 21/07/19  15:16:05 ] - Action: Update - User: \xd0\xbc\xd0\xb5\xd0\xbd\xd1\x8f \xd0\xb7\xd0\xbe\xd0\xb2\xd1\x83\xd1\x82 \xd0\xbd\xd0\xb8e\xd1\x80\xd0\xba\xd0\xb0 - Before: https://cdn.discordapp.com/avatars/491629189980487712/6ea20f0fcb7ec23b45ad26ecfd06fcd6.webp?size=1024 - After: https://cdn.discordapp.com/avatars/491629189980487712/174d1621cabeaae87dcfa3ba8cc27cfe.webp?size=1024'
b'Record: [ 21/07/19  15:16:52 ] - Action: Update - User: \xd0\xbc\xd0\xb5\xd0\xbd\xd1\x8f \xd0\xb7\xd0\xbe\xd0\xb2\xd1\x83\xd1\x82 \xd0\xbd\xd0\xb8e\xd1\x80\xd0\xba\xd0\xb0 - Content: Nierka \xc5\xbdandaras'
b'Record: [ 21/07/19  20:29:23 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/d8ee1e5e7715ad572df68e2c1ae4d740.webp?size=1024 - After: https://cdn.discordapp.com/avatars/287638667856445440/2e851ee2e9d8447c27b2b7e277ac012a.webp?size=1024'
b'Record: [ 21/07/19  22:26:44 ] - Action: Update - User: johnyloco - Before: https://cdn.discordapp.com/avatars/389385600433651712/1e8cc7e99d2ada7fa2bb8497b037340e.webp?size=1024 - After: https://cdn.discordapp.com/avatars/389385600433651712/55d97a7767f1007abeeb6cf0d2224f35.webp?size=1024'
b'Record: [ 22/07/19  19:25:50 ] - Action: Update - User: Maniac - Before: https://cdn.discordapp.com/avatars/271582951152680960/a_8e178db99b132d4605cbc0036fe48433.gif?size=1024 - After: https://cdn.discordapp.com/avatars/271582951152680960/a_2296ff4d61f2a1fad961c0324fece11c.gif?size=1024'
b'Record: [ 22/07/19  19:37:23 ] - Action: Update - User: Sarpik \xf0\x9f\x94\xa5 - Before: https://cdn.discordapp.com/avatars/479681776675979264/5727c6455e5dedf4b0b06eaea4faab7f.webp?size=1024 - After: https://cdn.discordapp.com/avatars/479681776675979264/ec05b3504eb0aa430f84f5ba61d3699c.webp?size=1024'
b'Record: [ 22/07/19  19:37:50 ] - Action: Update - User: Sarpik \xf0\x9f\x94\xa5 - Before: https://cdn.discordapp.com/avatars/479681776675979264/ec05b3504eb0aa430f84f5ba61d3699c.webp?size=1024 - After: https://cdn.discordapp.com/avatars/479681776675979264/5727c6455e5dedf4b0b06eaea4faab7f.webp?size=1024'
b'Record: [ 22/07/19  20:03:02 ] - Action: Update - User: Bozakas - Before: https://cdn.discordapp.com/avatars/307912527411412992/a_808157609110509b88632139967a401e.gif?size=1024 - After: https://cdn.discordapp.com/avatars/307912527411412992/a_59b89add35668748ef14ba1941ed8bac.gif?size=1024'
b'Record: [ 22/07/19  20:48:21 ] - Action: Update - User: Vredix - Before: https://cdn.discordapp.com/avatars/289489371361574924/f1269c9fb7ef383368f6dc6e5bc18626.webp?size=1024 - After: https://cdn.discordapp.com/avatars/289489371361574924/109e130b23e0d8fc8c2268264611f094.webp?size=1024'
b'Record: [ 22/07/19  22:26:25 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/2e851ee2e9d8447c27b2b7e277ac012a.webp?size=1024 - After: https://cdn.discordapp.com/avatars/287638667856445440/eff8245171fdb95e6feed95926debec9.webp?size=1024'
b'Record: [ 22/07/19  22:27:36 ] - Action: Update - User: \xf0\x9f\x92\x99_Zeka_\xf0\x9f\x92\x99 - Content: \xf0\x9f\x92\x99_Zoki_\xf0\x9f\x92\x99'
b'Record: [ 22/07/19  22:32:30 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/eff8245171fdb95e6feed95926debec9.webp?size=1024 - After: https://cdn.discordapp.com/avatars/287638667856445440/912afb2bacc6a1e5c27ab8530e3304b7.webp?size=1024'
b'Record: [ 22/07/19  22:55:15 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/912afb2bacc6a1e5c27ab8530e3304b7.webp?size=1024 - After: https://cdn.discordapp.com/embed/avatars/2.png'
b'Record: [ 23/07/19  00:03:58 ] - Action: Update - User: je suis tous ces enfants - Content: fancymintys'
